activity_id,deal_id,activity_type,activity_at
A00001,D0001,Email,2026-03-29
A00002,D0001,Demo,2026-03-16
A00003,D0001,Meeting,2026-03-07
A00004,D0001,Meeting,2026-03-23
A00005,D0002,Call,2025-07-08
A00006,D0002,Meeting,2025-06-25
A00007,D0002,Call,2025-05-30
A00008,D0002,Demo,2025-06-21
A00009,D0002,Demo,2025-07-09
A00010,D0002,Call,2025-06-27
A00011,D0003,Email,2025-08-04
A00012,D0003,Demo,2025-08-09
A00013,D0004,Demo,2025-12-15
A00014,D0004,Email,2025-12-17
A00015,D0004,Email,2026-01-21
A00016,D0004,Demo,2025-12-08
A00017,D0004,Demo,2025-12-29
A00018,D0004,Email,2026-01-03
A00019,D0005,Email,2026-02-04
A00020,D0005,Meeting,2026-02-09
A00021,D0005,Meeting,2026-02-12
A00022,D0005,Email,2026-02-05
A00023,D0006,Call,2025-09-23
A00024,D0006,Demo,2025-09-22
A00025,D0006,Demo,2025-09-23
A00026,D0006,Meeting,2025-09-22
A00027,D0006,Meeting,2025-09-22
A00028,D0006,Meeting,2025-09-22
A00029,D0007,Demo,2025-12-04
A00030,D0007,Call,2025-12-03
A00031,D0007,Demo,2025-12-04
A00032,D0007,Email,2025-12-03
A00033,D0007,Email,2025-12-04
A00034,D0007,Call,2025-12-03
A00035,D0008,Email,2025-08-07
A00036,D0008,Demo,2025-06-20
A00037,D0009,Email,2025-12-10
A00038,D0009,Email,2025-12-12
A00039,D0009,Email,2026-01-27
A00040,D0009,Call,2026-01-10
A00041,D0010,Call,2025-03-19
A00042,D0010,Demo,2025-04-04
A00043,D0011,Call,2025-06-12
A00044,D0011,Call,2025-06-13
A00045,D0011,Meeting,2025-06-13
A00046,D0011,Meeting,2025-06-12
A00047,D0011,Email,2025-06-13
A00048,D0011,Call,2025-06-12
A00049,D0012,Meeting,2025-09-05
A00050,D0012,Call,2025-08-23
A00051,D0012,Meeting,2025-10-01
A00052,D0012,Call,2025-08-29
A00053,D0012,Meeting,2025-10-07
A00054,D0012,Call,2025-09-21
A00055,D0013,Demo,2025-10-06
A00056,D0013,Meeting,2025-09-20
A00057,D0013,Meeting,2025-09-13
A00058,D0013,Meeting,2025-10-26
A00059,D0013,Call,2025-10-03
A00060,D0013,Demo,2025-10-22
A00061,D0014,Demo,2026-01-22
A00062,D0014,Email,2026-01-11
A00063,D0014,Email,2026-02-09
A00064,D0014,Meeting,2026-01-22
A00065,D0014,Meeting,2026-01-28
A00066,D0015,Email,2025-06-11
A00067,D0015,Email,2025-06-16
A00068,D0015,Call,2025-06-23
A00069,D0015,Meeting,2025-05-31
A00070,D0015,Email,2025-05-29
A00071,D0016,Demo,2026-04-18
A00072,D0016,Call,2026-05-04
A00073,D0016,Meeting,2026-05-05
A00074,D0016,Meeting,2026-04-18
A00075,D0016,Demo,2026-04-23
A00076,D0016,Call,2026-04-21
A00077,D0017,Call,2025-12-28
A00078,D0017,Meeting,2025-12-26
A00079,D0017,Email,2026-01-04
A00080,D0017,Email,2026-01-07
A00081,D0018,Demo,2025-09-06
A00082,D0018,Demo,2025-09-06
A00083,D0019,Call,2025-05-08
A00084,D0019,Email,2025-06-13
A00085,D0019,Meeting,2025-05-12
A00086,D0019,Call,2025-06-07
A00087,D0020,Email,2025-05-22
A00088,D0020,Call,2025-04-27
A00089,D0020,Demo,2025-05-31
A00090,D0020,Meeting,2025-06-09
A00091,D0021,Call,2025-02-19
A00092,D0021,Meeting,2025-03-26
A00093,D0021,Call,2025-03-13
A00094,D0021,Email,2025-03-11
A00095,D0021,Call,2025-02-16
A00096,D0021,Meeting,2025-01-20
A00097,D0022,Email,2026-03-28
A00098,D0022,Call,2026-03-27
A00099,D0022,Demo,2026-03-27
A00100,D0022,Call,2026-03-27
A00101,D0022,Meeting,2026-03-28
A00102,D0023,Email,2026-05-29
A00103,D0023,Demo,2026-05-28
A00104,D0023,Email,2026-05-30
A00105,D0023,Call,2026-05-23
A00106,D0024,Call,2026-03-05
A00107,D0024,Call,2026-02-09
A00108,D0024,Call,2026-03-07
A00109,D0024,Call,2026-04-05
A00110,D0024,Meeting,2026-03-25
A00111,D0024,Email,2026-02-26
A00112,D0025,Call,2025-07-23
A00113,D0025,Meeting,2025-09-18
A00114,D0026,Demo,2025-09-20
A00115,D0026,Demo,2025-10-16
A00116,D0026,Email,2025-10-11
A00117,D0026,Email,2025-09-30
A00118,D0026,Meeting,2025-10-06
A00119,D0027,Demo,2025-10-23
A00120,D0027,Email,2025-09-30
A00121,D0027,Email,2025-11-22
A00122,D0028,Call,2025-08-04
A00123,D0028,Email,2025-08-08
A00124,D0028,Email,2025-08-04
A00125,D0028,Meeting,2025-08-04
A00126,D0029,Meeting,2025-10-14
A00127,D0029,Call,2025-10-14
A00128,D0030,Email,2025-05-17
A00129,D0030,Call,2025-05-15
A00130,D0030,Demo,2025-05-17
A00131,D0030,Demo,2025-05-12
A00132,D0030,Demo,2025-05-13
A00133,D0031,Demo,2026-05-13
A00134,D0031,Demo,2026-05-14
A00135,D0031,Demo,2026-05-15
A00136,D0031,Email,2026-05-14
A00137,D0031,Call,2026-05-14
A00138,D0031,Meeting,2026-05-18
A00139,D0032,Meeting,2026-03-05
A00140,D0032,Call,2026-02-18
A00141,D0032,Call,2026-02-25
A00142,D0032,Demo,2026-02-27
A00143,D0032,Call,2026-04-08
A00144,D0033,Email,2025-04-03
A00145,D0033,Call,2025-04-17
A00146,D0033,Demo,2025-05-30
A00147,D0033,Email,2025-04-06
A00148,D0033,Demo,2025-05-08
A00149,D0034,Call,2026-05-01
A00150,D0034,Demo,2026-05-01
A00151,D0034,Meeting,2026-05-03
A00152,D0034,Call,2026-04-25
A00153,D0035,Call,2025-10-01
A00154,D0035,Email,2025-09-03
A00155,D0035,Call,2025-08-27
A00156,D0035,Demo,2025-09-30
A00157,D0036,Meeting,2026-05-11
A00158,D0036,Meeting,2026-04-19
A00159,D0036,Meeting,2026-05-13
A00160,D0036,Demo,2026-04-29
A00161,D0036,Demo,2026-04-26
A00162,D0037,Call,2025-04-06
A00163,D0037,Call,2025-03-30
A00164,D0037,Email,2025-03-30
A00165,D0037,Call,2025-04-27
A00166,D0037,Email,2025-03-25
A00167,D0038,Call,2025-03-23
A00168,D0038,Email,2025-05-02
A00169,D0039,Meeting,2025-10-04
A00170,D0039,Email,2025-10-03
A00171,D0039,Email,2025-11-13
A00172,D0040,Meeting,2025-04-29
A00173,D0040,Meeting,2025-05-01
A00174,D0040,Meeting,2025-04-30
A00175,D0041,Email,2026-02-10
A00176,D0041,Meeting,2026-02-15
A00177,D0041,Demo,2026-03-03
A00178,D0041,Call,2026-02-22
A00179,D0041,Meeting,2026-03-05
A00180,D0041,Email,2026-01-26
A00181,D0042,Demo,2026-04-18
A00182,D0042,Demo,2026-04-01
A00183,D0042,Email,2026-05-12
A00184,D0042,Demo,2026-05-21
A00185,D0042,Meeting,2026-04-28
A00186,D0043,Meeting,2026-03-25
A00187,D0043,Demo,2026-04-17
A00188,D0044,Demo,2025-03-14
A00189,D0044,Demo,2025-01-30
A00190,D0044,Meeting,2025-02-05
A00191,D0044,Email,2025-02-02
A00192,D0045,Demo,2025-02-12
A00193,D0045,Meeting,2025-02-14
A00194,D0045,Demo,2025-02-12
A00195,D0046,Email,2025-06-13
A00196,D0046,Email,2025-07-07
A00197,D0046,Meeting,2025-07-31
A00198,D0046,Meeting,2025-07-13
A00199,D0046,Meeting,2025-07-08
A00200,D0046,Call,2025-07-28
A00201,D0047,Demo,2025-12-17
A00202,D0047,Call,2025-12-14
A00203,D0047,Call,2025-12-13
A00204,D0048,Meeting,2026-04-06
A00205,D0048,Email,2026-02-20
A00206,D0048,Meeting,2026-03-01
A00207,D0048,Call,2026-04-05
A00208,D0049,Email,2026-01-05
A00209,D0049,Email,2025-11-26
A00210,D0049,Call,2025-11-29
A00211,D0049,Demo,2025-12-06
A00212,D0049,Call,2025-11-09
A00213,D0049,Demo,2025-12-19
A00214,D0050,Meeting,2025-12-28
A00215,D0050,Meeting,2026-02-10
A00216,D0050,Call,2026-01-16
A00217,D0051,Demo,2026-05-17
A00218,D0051,Call,2026-05-27
A00219,D0051,Call,2026-05-04
A00220,D0051,Meeting,2026-05-28
A00221,D0051,Email,2026-04-22
A00222,D0052,Meeting,2025-02-24
A00223,D0052,Email,2025-01-26
A00224,D0052,Email,2025-02-09
A00225,D0052,Call,2025-03-13
A00226,D0052,Demo,2025-03-21
A00227,D0053,Email,2025-08-18
A00228,D0053,Call,2025-09-05
A00229,D0053,Meeting,2025-10-05
A00230,D0053,Demo,2025-08-03
A00231,D0054,Demo,2025-02-26
A00232,D0054,Call,2025-02-20
A00233,D0054,Demo,2025-02-20
A00234,D0054,Meeting,2025-02-26
A00235,D0055,Call,2025-05-22
A00236,D0055,Call,2025-05-21
A00237,D0055,Meeting,2025-05-21
A00238,D0055,Meeting,2025-05-21
A00239,D0056,Call,2025-10-08
A00240,D0056,Call,2025-09-13
A00241,D0056,Email,2025-10-28
A00242,D0057,Email,2026-02-26
A00243,D0057,Email,2026-03-16
A00244,D0057,Meeting,2026-04-12
A00245,D0057,Call,2026-05-04
A00246,D0057,Demo,2026-03-19
A00247,D0057,Demo,2026-05-11
A00248,D0058,Call,2025-02-25
A00249,D0058,Email,2025-02-20
A00250,D0058,Demo,2025-02-07
A00251,D0058,Meeting,2025-03-04
A00252,D0058,Call,2025-03-13
A00253,D0058,Demo,2025-03-20
A00254,D0059,Call,2025-01-25
A00255,D0059,Demo,2025-01-25
A00256,D0060,Email,2025-05-09
A00257,D0060,Email,2025-05-14
A00258,D0060,Email,2025-05-23
A00259,D0060,Call,2025-04-24
A00260,D0060,Call,2025-05-26
A00261,D0061,Email,2025-01-04
A00262,D0061,Email,2025-01-04
A00263,D0061,Call,2025-01-03
A00264,D0061,Call,2025-01-03
A00265,D0061,Demo,2025-01-04
A00266,D0061,Email,2025-01-03
A00267,D0062,Email,2025-05-10
A00268,D0062,Email,2025-04-21
A00269,D0062,Call,2025-05-06
A00270,D0062,Email,2025-04-26
A00271,D0063,Email,2026-02-04
A00272,D0063,Demo,2026-02-03
A00273,D0063,Call,2026-02-04
A00274,D0063,Meeting,2026-02-03
A00275,D0063,Meeting,2026-02-04
A00276,D0064,Email,2025-12-15
A00277,D0064,Meeting,2025-12-15
A00278,D0064,Demo,2025-12-15
A00279,D0065,Meeting,2025-05-04
