company_id,company_name,industry,employee_count,country
C0001,LumenGroup-1,Healthtech,15,France
C0002,AtlasDigital-2,Media,120,Belgium
C0003,KiteBV-3,SaaS,75,Spain
C0004,PineBV-4,Retail,75,Germany
C0005,DeltaLabs-5,Fintech,900,Netherlands
C0006,DeltaBV-6,Retail,15,Spain
C0007,EchoWorks-7,Fintech,900,Netherlands
C0008,ForgeBV-8,Manufacturing,120,Spain
C0009,LumenLabs-9,Healthtech,250,Netherlands
C0010,AtlasLabs-10,Media,250,Belgium
C0011,DeltaGroup-11,Manufacturing,500,Germany
C0012,OrbitDigital-12,Fintech,75,France
C0013,AtlasGroup-13,Edtech,900,UK
C0014,ForgeGroup-14,Manufacturing,15,Germany
C0015,NovaBV-15,Media,250,Netherlands
C0016,AtlasWorks-16,Manufacturing,120,Spain
C0017,EchoSystems-17,Edtech,75,UK
C0018,VegaGroup-18,Retail,900,France
C0019,PineBV-19,Healthtech,75,France
C0020,EchoLabs-20,SaaS,40,Germany
C0021,VegaDigital-21,Media,40,Belgium
C0022,PineWorks-22,Edtech,250,France
C0023,NovaDigital-23,Fintech,250,Spain
C0024,DeltaLabs-24,Retail,900,Germany
C0025,EchoLabs-25,Retail,75,France
C0026,LumenDigital-26,Retail,120,Germany
C0027,DeltaGroup-27,SaaS,500,Belgium
C0028,NovaLabs-28,Manufacturing,250,Germany
C0029,NovaGroup-29,Fintech,40,Spain
C0030,EchoLabs-30,Logistics,75,Spain
C0031,EchoWorks-31,Logistics,250,France
C0032,KiteSystems-32,Healthtech,120,Spain
C0033,OrbitSystems-33,Manufacturing,1500,France
C0034,EchoLabs-34,Healthtech,120,Netherlands
C0035,DeltaLabs-35,Healthtech,120,Netherlands
C0036,LumenDigital-36,SaaS,120,Netherlands
C0037,NovaBV-37,Fintech,120,UK
C0038,EchoGroup-38,Logistics,1500,Germany
C0039,EchoSystems-39,Healthtech,40,Netherlands
C0040,PineBV-40,Media,900,Belgium
C0041,NovaDigital-41,Fintech,15,Belgium
C0042,DeltaLabs-42,Healthtech,120,Germany
C0043,ForgeSystems-43,Logistics,900,Germany
C0044,OrbitSystems-44,Healthtech,40,Belgium
C0045,ForgeLabs-45,SaaS,15,Netherlands
C0046,AtlasGroup-46,Media,1500,Belgium
C0047,AtlasSystems-47,SaaS,75,Belgium
C0048,NovaSystems-48,Retail,1500,UK
C0049,PineDigital-49,Edtech,75,Germany
C0050,OrbitGroup-50,SaaS,15,Spain
C0051,DeltaLabs-51,SaaS,1500,France
C0052,ForgeGroup-52,SaaS,40,Germany
C0053,LumenWorks-53,Fintech,120,Belgium
C0054,LumenWorks-54,Healthtech,15,France
C0055,LumenSystems-55,Manufacturing,250,Germany
C0056,DeltaGroup-56,Retail,900,Germany
C0057,OrbitSystems-57,Manufacturing,40,Netherlands
C0058,EchoWorks-58,Fintech,40,France
C0059,AtlasWorks-59,Retail,75,UK
C0060,LumenGroup-60,Manufacturing,250,Germany
C0061,EchoWorks-61,Retail,15,Spain
C0062,ForgeBV-62,Fintech,75,UK
C0063,LumenLabs-63,Logistics,250,UK
C0064,KiteGroup-64,Manufacturing,120,Spain
C0065,OrbitWorks-65,Edtech,250,Netherlands
C0066,LumenDigital-66,Media,250,Netherlands
C0067,NovaBV-67,Logistics,250,Germany
C0068,EchoWorks-68,Media,15,Netherlands
C0069,LumenDigital-69,Logistics,15,UK
C0070,KiteWorks-70,Logistics,900,Germany
C0071,NovaBV-71,Manufacturing,15,UK
C0072,AtlasDigital-72,Healthtech,40,UK
C0073,ForgeSystems-73,Logistics,120,Germany
C0074,VegaSystems-74,SaaS,75,Spain
C0075,DeltaSystems-75,Healthtech,250,Germany
C0076,LumenSystems-76,SaaS,1500,Germany
C0077,AtlasSystems-77,Manufacturing,250,Germany
C0078,AtlasLabs-78,Healthtech,900,UK
C0079,OrbitLabs-79,Retail,500,Spain
C0080,ForgeSystems-80,Manufacturing,15,Netherlands
C0081,OrbitGroup-81,Retail,15,Netherlands
C0082,KiteSystems-82,Manufacturing,500,Belgium
C0083,KiteWorks-83,Fintech,900,France
C0084,AtlasBV-84,SaaS,900,Netherlands
C0085,ForgeWorks-85,Healthtech,500,Belgium
C0086,LumenDigital-86,Manufacturing,500,Spain
C0087,LumenDigital-87,Retail,250,Spain
C0088,PineBV-88,Media,250,France
C0089,VegaGroup-89,Media,900,Spain
C0090,VegaWorks-90,Retail,900,France
C0091,NovaBV-91,Retail,120,Belgium
C0092,KiteWorks-92,Manufacturing,1500,Belgium
C0093,EchoDigital-93,Healthtech,1500,Spain
C0094,VegaDigital-94,Fintech,250,France
C0095,KiteBV-95,Fintech,120,Spain
C0096,OrbitGroup-96,Healthtech,75,Netherlands
C0097,NovaGroup-97,Edtech,40,Belgium
C0098,PineDigital-98,Healthtech,900,Belgium
C0099,PineGroup-99,Logistics,15,Netherlands
C0100,PineGroup-100,Logistics,1500,Netherlands
C0101,ForgeGroup-101,Fintech,1500,Germany
