history_id,deal_id,stage,entered_at
H00001,D0001,Opportunity,2026-03-01
H00002,D0001,Proposal,2026-03-12
H00003,D0001,Negotiation,2026-04-01
H00004,D0002,Opportunity,2025-05-27
H00005,D0002,Proposal,2025-05-31
H00006,D0002,Negotiation,2025-06-10
H00007,D0002,Closed Won,2025-07-09
H00008,D0003,Opportunity,2025-07-04
H00009,D0003,Proposal,2025-07-12
H00010,D0003,Negotiation,2025-07-21
H00011,D0003,Closed Lost,2025-08-12
H00012,D0004,Opportunity,2025-12-06
H00013,D0004,Proposal,2025-12-13
H00014,D0004,Negotiation,2025-12-25
H00015,D0004,Closed Lost,2026-02-04
H00016,D0005,Opportunity,2026-02-03
H00017,D0005,Proposal,2026-02-09
H00018,D0005,Negotiation,2026-02-16
H00019,D0005,Closed Lost,2026-03-11
H00020,D0006,Opportunity,2025-09-22
H00021,D0007,Opportunity,2025-12-03
H00022,D0008,Opportunity,2025-06-05
H00023,D0008,Proposal,2025-06-12
H00024,D0008,Negotiation,2025-06-30
H00025,D0008,Closed Lost,2025-08-10
H00026,D0009,Opportunity,2025-11-25
H00027,D0009,Proposal,2025-12-04
H00028,D0009,Negotiation,2025-12-18
H00029,D0009,Closed Won,2026-02-17
H00030,D0010,Opportunity,2025-02-10
H00031,D0010,Proposal,2025-02-20
H00032,D0010,Negotiation,2025-03-09
H00033,D0010,Closed Won,2025-04-19
H00034,D0011,Opportunity,2025-06-12
H00035,D0012,Opportunity,2025-07-07
H00036,D0012,Proposal,2025-07-23
H00037,D0012,Negotiation,2025-08-09
H00038,D0012,Closed Lost,2025-10-15
H00039,D0013,Opportunity,2025-09-11
H00040,D0013,Proposal,2025-09-17
H00041,D0013,Negotiation,2025-10-03
H00042,D0013,Closed Lost,2025-10-27
H00043,D0014,Opportunity,2026-01-08
H00044,D0014,Proposal,2026-01-12
H00045,D0014,Negotiation,2026-01-24
H00046,D0014,Closed Lost,2026-02-11
H00047,D0015,Opportunity,2025-05-26
H00048,D0015,Proposal,2025-05-31
H00049,D0015,Negotiation,2025-06-07
H00050,D0015,Closed Won,2025-07-05
H00051,D0016,Opportunity,2026-04-18
H00052,D0016,Proposal,2026-04-25
H00053,D0016,Negotiation,2026-05-08
H00054,D0017,Opportunity,2025-12-26
H00055,D0017,Proposal,2026-01-08
H00056,D0018,Opportunity,2025-07-26
H00057,D0018,Proposal,2025-08-11
H00058,D0018,Negotiation,2025-08-31
H00059,D0018,Closed Won,2025-10-20
H00060,D0019,Opportunity,2025-05-02
H00061,D0019,Proposal,2025-05-08
H00062,D0019,Negotiation,2025-05-24
H00063,D0019,Closed Lost,2025-06-25
H00064,D0020,Opportunity,2025-03-25
H00065,D0020,Proposal,2025-04-08
H00066,D0020,Negotiation,2025-04-21
H00067,D0020,Closed Won,2025-06-30
H00068,D0021,Opportunity,2025-01-16
H00069,D0021,Proposal,2025-01-25
H00070,D0021,Negotiation,2025-02-15
H00071,D0021,Closed Lost,2025-04-08
H00072,D0022,Opportunity,2026-03-27
H00073,D0023,Opportunity,2026-05-23
H00074,D0023,Proposal,2026-05-30
H00075,D0024,Opportunity,2026-02-04
H00076,D0024,Proposal,2026-02-16
H00077,D0024,Negotiation,2026-03-14
H00078,D0024,Closed Lost,2026-04-19
H00079,D0025,Opportunity,2025-07-03
H00080,D0025,Proposal,2025-07-14
H00081,D0025,Negotiation,2025-08-10
H00082,D0025,Closed Lost,2025-09-22
H00083,D0026,Opportunity,2025-09-19
H00084,D0026,Proposal,2025-09-27
H00085,D0026,Negotiation,2025-10-04
H00086,D0026,Closed Lost,2025-10-25
H00087,D0027,Opportunity,2025-09-08
H00088,D0027,Proposal,2025-09-16
H00089,D0027,Negotiation,2025-10-02
H00090,D0027,Closed Lost,2025-12-07
H00091,D0028,Opportunity,2025-08-04
H00092,D0028,Proposal,2025-08-09
H00093,D0029,Opportunity,2025-10-13
H00094,D0030,Opportunity,2025-05-09
H00095,D0030,Proposal,2025-05-17
H00096,D0031,Opportunity,2026-05-13
H00097,D0031,Proposal,2026-05-20
H00098,D0032,Opportunity,2026-02-18
H00099,D0032,Proposal,2026-02-24
H00100,D0032,Negotiation,2026-03-04
H00101,D0032,Closed Lost,2026-04-15
H00102,D0033,Opportunity,2025-03-28
H00103,D0033,Proposal,2025-04-09
H00104,D0033,Negotiation,2025-04-22
H00105,D0033,Closed Lost,2025-06-01
H00106,D0034,Opportunity,2026-04-25
H00107,D0034,Proposal,2026-05-03
H00108,D0035,Opportunity,2025-08-27
H00109,D0035,Proposal,2025-09-04
H00110,D0035,Negotiation,2025-09-17
H00111,D0035,Closed Lost,2025-10-28
H00112,D0036,Opportunity,2026-04-15
H00113,D0036,Proposal,2026-04-25
H00114,D0036,Negotiation,2026-05-14
H00115,D0037,Opportunity,2025-03-22
H00116,D0037,Proposal,2025-03-28
H00117,D0037,Negotiation,2025-04-05
H00118,D0037,Closed Lost,2025-05-05
H00119,D0038,Opportunity,2025-02-03
H00120,D0038,Proposal,2025-02-18
H00121,D0038,Negotiation,2025-03-05
H00122,D0038,Closed Lost,2025-05-10
H00123,D0039,Opportunity,2025-09-21
H00124,D0039,Proposal,2025-09-26
H00125,D0039,Negotiation,2025-10-12
H00126,D0039,Closed Won,2025-11-18
H00127,D0040,Opportunity,2025-04-28
H00128,D0040,Proposal,2025-05-04
H00129,D0041,Opportunity,2026-01-05
H00130,D0041,Proposal,2026-01-19
H00131,D0041,Negotiation,2026-02-06
H00132,D0041,Closed Lost,2026-04-07
H00133,D0042,Opportunity,2026-03-15
H00134,D0042,Proposal,2026-03-23
H00135,D0042,Negotiation,2026-04-07
H00136,D0042,Closed Lost,2026-05-22
H00137,D0043,Opportunity,2026-03-13
H00138,D0043,Proposal,2026-03-22
H00139,D0043,Negotiation,2026-03-29
H00140,D0043,Closed Lost,2026-04-23
H00141,D0044,Opportunity,2025-01-26
H00142,D0044,Proposal,2025-02-08
H00143,D0044,Negotiation,2025-02-24
H00144,D0044,Closed Lost,2025-04-17
H00145,D0045,Opportunity,2025-02-09
H00146,D0045,Proposal,2025-02-16
H00147,D0046,Opportunity,2025-06-09
H00148,D0046,Proposal,2025-06-14
H00149,D0046,Negotiation,2025-06-28
H00150,D0046,Closed Lost,2025-08-07
H00151,D0047,Opportunity,2025-12-11
H00152,D0047,Proposal,2025-12-17
H00153,D0048,Opportunity,2026-01-22
H00154,D0048,Proposal,2026-02-03
H00155,D0048,Negotiation,2026-02-24
H00156,D0048,Closed Lost,2026-04-15
H00157,D0049,Opportunity,2025-10-26
H00158,D0049,Proposal,2025-11-06
H00159,D0049,Negotiation,2025-11-30
H00160,D0049,Closed Lost,2026-01-06
H00161,D0050,Opportunity,2025-12-28
H00162,D0050,Proposal,2026-01-05
H00163,D0050,Negotiation,2026-01-18
H00164,D0050,Closed Lost,2026-02-27
H00165,D0051,Opportunity,2026-04-19
H00166,D0051,Proposal,2026-04-25
H00167,D0051,Negotiation,2026-05-08
H00168,D0051,Closed Lost,2026-05-30
H00169,D0052,Opportunity,2025-01-14
H00170,D0052,Proposal,2025-01-29
H00171,D0052,Negotiation,2025-02-10
H00172,D0052,Closed Won,2025-04-03
H00173,D0053,Opportunity,2025-07-28
H00174,D0053,Proposal,2025-08-13
H00175,D0053,Negotiation,2025-08-26
H00176,D0053,Closed Won,2025-10-19
H00177,D0054,Opportunity,2025-02-19
H00178,D0054,Proposal,2025-03-01
H00179,D0055,Opportunity,2025-05-21
H00180,D0056,Opportunity,2025-08-26
H00181,D0056,Proposal,2025-09-09
H00182,D0056,Negotiation,2025-09-27
H00183,D0056,Closed Won,2025-12-01
H00184,D0057,Opportunity,2026-02-12
H00185,D0057,Proposal,2026-02-28
H00186,D0057,Negotiation,2026-03-23
H00187,D0057,Closed Won,2026-05-31
H00188,D0058,Opportunity,2025-02-01
H00189,D0058,Proposal,2025-02-09
H00190,D0058,Negotiation,2025-02-24
H00191,D0058,Closed Won,2025-03-20
H00192,D0059,Opportunity,2025-01-25
H00193,D0060,Opportunity,2025-04-16
H00194,D0060,Proposal,2025-04-24
H00195,D0060,Negotiation,2025-05-06
H00196,D0060,Closed Won,2025-05-26
H00197,D0061,Opportunity,2025-01-03
H00198,D0062,Opportunity,2025-04-19
H00199,D0062,Proposal,2025-04-26
H00200,D0062,Negotiation,2025-05-06
H00201,D0062,Closed Won,2025-05-28
H00202,D0063,Opportunity,2026-02-03
H00203,D0064,Opportunity,2025-12-14
H00204,D0065,Opportunity,2025-05-01
H00205,D0065,Proposal,2025-05-05
H00206,D0066,Opportunity,2025-02-14
H00207,D0066,Proposal,2025-02-23
H00208,D0066,Negotiation,2025-03-03
H00209,D0066,Closed Lost,2025-03-31
H00210,D0067,Opportunity,2026-02-01
H00211,D0067,Proposal,2026-02-05
H00212,D0067,Negotiation,2026-02-16
H00213,D0067,Closed Lost,2026-03-05
H00214,D0068,Opportunity,2025-08-05
H00215,D0068,Proposal,2025-08-18
H00216,D0069,Opportunity,2025-04-12
H00217,D0069,Proposal,2025-04-19
H00218,D0069,Negotiation,2025-05-01
H00219,D0069,Closed Lost,2025-05-27
H00220,D0070,Opportunity,2025-09-02
H00221,D0071,Opportunity,2026-05-08
H00222,D0071,Proposal,2026-05-17
H00223,D0072,Opportunity,2025-03-21
H00224,D0073,Opportunity,2025-03-01
H00225,D0073,Proposal,2025-03-16
H00226,D0074,Opportunity,2025-05-13
H00227,D0074,Proposal,2025-05-23
H00228,D0074,Negotiation,2025-06-19
H00229,D0074,Closed Lost,2025-07-31
H00230,D0075,Opportunity,2026-05-23
H00231,D0076,Opportunity,2025-02-09
H00232,D0076,Proposal,2025-02-14
H00233,D0077,Opportunity,2025-05-04
H00234,D0077,Proposal,2025-05-18
H00235,D0077,Negotiation,2025-06-08
H00236,D0077,Closed Lost,2025-08-18
H00237,D0078,Opportunity,2025-12-08
H00238,D0078,Proposal,2025-12-23
H00239,D0078,Negotiation,2026-01-07
H00240,D0078,Closed Lost,2026-03-04
H00241,D0079,Opportunity,2025-04-21
H00242,D0079,Proposal,2025-04-27
H00243,D0080,Opportunity,2025-06-16
H00244,D0080,Proposal,2025-06-23
H00245,D0080,Negotiation,2025-07-05
H00246,D0080,Closed Won,2025-08-06
H00247,D0081,Opportunity,2025-03-31
H00248,D0082,Opportunity,2026-04-09
H00249,D0083,Opportunity,2026-03-27
H00250,D0084,Opportunity,2025-09-20
H00251,D0084,Proposal,2025-10-02
H00252,D0085,Opportunity,2025-06-23
H00253,D0085,Proposal,2025-06-30
H00254,D0086,Opportunity,2025-11-29
H00255,D0086,Proposal,2025-12-05
H00256,D0087,Opportunity,2025-03-07
H00257,D0087,Proposal,2025-03-17
H00258,D0088,Opportunity,2025-11-26
H00259,D0088,Proposal,2025-12-04
H00260,D0088,Negotiation,2025-12-20
H00261,D0088,Closed Lost,2026-01-10
H00262,D0089,Opportunity,2025-04-14
H00263,D0089,Proposal,2025-04-21
H00264,D0089,Negotiation,2025-04-30
H00265,D0089,Closed Won,2025-06-08
H00266,D0090,Opportunity,2025-10-15
H00267,D0090,Proposal,2025-10-24
H00268,D0091,Opportunity,2025-06-09
H00269,D0091,Proposal,2025-06-15
H00270,D0091,Negotiation,2025-06-27
H00271,D0091,Closed Lost,2025-08-03
H00272,D0092,Opportunity,2025-05-30
H00273,D0092,Proposal,2025-06-08
H00274,D0093,Opportunity,2025-10-03
H00275,D0094,Opportunity,2025-06-23
H00276,D0094,Proposal,2025-06-28
H00277,D0094,Negotiation,2025-07-13
H00278,D0094,Closed Won,2025-08-24
H00279,D0095,Opportunity,2026-01-01
H00280,D0095,Proposal,2026-01-07
H00281,D0095,Negotiation,2026-01-18
H00282,D0095,Closed Lost,2026-02-06
H00283,D0096,Opportunity,2026-04-20
H00284,D0096,Proposal,2026-04-30
H00285,D0097,Opportunity,2025-03-27
H00286,D0097,Proposal,2025-04-06
H00287,D0097,Negotiation,2025-04-29
H00288,D0097,Closed Lost,2025-07-06
H00289,D0098,Opportunity,2025-10-11
H00290,D0098,Proposal,2025-10-18
H00291,D0099,Opportunity,2025-01-09
H00292,D0100,Opportunity,2026-03-15
H00293,D0100,Proposal,2026-03-19
H00294,D0101,Opportunity,2026-05-07
H00295,D0102,Opportunity,2025-01-21
H00296,D0102,Proposal,2025-01-29
H00297,D0102,Negotiation,2025-02-06
H00298,D0102,Closed Lost,2025-02-27
H00299,D0103,Opportunity,2025-12-01
H00300,D0103,Proposal,2025-12-15
H00301,D0103,Negotiation,2026-01-03
H00302,D0103,Closed Won,2026-02-17
H00303,D0104,Opportunity,2026-05-09
H00304,D0105,Opportunity,2026-05-16
H00305,D0105,Proposal,2026-05-21
H00306,D0105,Negotiation,2026-05-29
H00307,D0106,Opportunity,2026-05-30
H00308,D0107,Opportunity,2025-10-29
H00309,D0107,Proposal,2025-11-06
H00310,D0107,Negotiation,2025-11-21
H00311,D0107,Closed Lost,2026-01-17
H00312,D0108,Opportunity,2025-01-17
H00313,D0108,Proposal,2025-01-27
H00314,D0108,Negotiation,2025-02-19
H00315,D0108,Closed Lost,2025-03-31
H00316,D0109,Opportunity,2025-05-04
H00317,D0109,Proposal,2025-05-13
H00318,D0110,Opportunity,2025-11-03
H00319,D0110,Proposal,2025-11-09
H00320,D0111,Opportunity,2025-09-22
H00321,D0111,Proposal,2025-10-05
H00322,D0112,Opportunity,2026-03-07
H00323,D0112,Proposal,2026-03-14
H00324,D0112,Negotiation,2026-03-25
H00325,D0112,Closed Lost,2026-05-05
H00326,D0113,Opportunity,2026-02-17
H00327,D0113,Proposal,2026-02-23
H00328,D0114,Opportunity,2026-02-08
H00329,D0114,Proposal,2026-02-16
H00330,D0114,Negotiation,2026-02-27
H00331,D0114,Closed Won,2026-03-27
H00332,D0115,Opportunity,2025-12-27
H00333,D0115,Proposal,2026-01-04
H00334,D0115,Negotiation,2026-01-22
H00335,D0115,Closed Lost,2026-03-14
H00336,D0116,Opportunity,2026-02-04
H00337,D0117,Opportunity,2026-02-24
H00338,D0117,Proposal,2026-03-06
H00339,D0117,Negotiation,2026-03-30
H00340,D0118,Opportunity,2025-07-16
H00341,D0118,Proposal,2025-07-21
H00342,D0118,Negotiation,2025-08-02
H00343,D0118,Closed Lost,2025-09-05
H00344,D0119,Opportunity,2025-08-07
H00345,D0119,Proposal,2025-08-12
H00346,D0119,Negotiation,2025-08-20
H00347,D0119,Closed Lost,2025-09-24
H00348,D0120,Opportunity,2025-03-21
H00349,D0120,Proposal,2025-03-27
H00350,D0121,Opportunity,2025-11-27
H00351,D0121,Proposal,2025-12-06
H00352,D0121,Negotiation,2025-12-19
H00353,D0121,Closed Lost,2026-02-15
H00354,D0122,Opportunity,2025-10-12
H00355,D0122,Proposal,2025-10-25
H00356,D0122,Negotiation,2025-11-21
H00357,D0122,Closed Lost,2026-01-01
H00358,D0123,Opportunity,2025-06-01
H00359,D0123,Proposal,2025-06-15
H00360,D0123,Negotiation,2025-07-01
H00361,D0123,Closed Lost,2025-09-14
H00362,D0124,Opportunity,2025-10-04
H00363,D0124,Proposal,2025-10-10
H00364,D0124,Negotiation,2025-10-21
H00365,D0124,Closed Lost,2025-11-11
H00366,D0125,Opportunity,2025-05-31
H00367,D0126,Opportunity,2025-04-10
H00368,D0126,Proposal,2025-04-18
H00369,D0126,Negotiation,2025-04-30
H00370,D0126,Closed Won,2025-05-31
H00371,D0127,Opportunity,2025-05-30
H00372,D0127,Proposal,2025-06-05
H00373,D0127,Negotiation,2025-06-14
H00374,D0127,Closed Lost,2025-07-09
H00375,D0128,Opportunity,2025-11-08
H00376,D0129,Opportunity,2025-12-30
H00377,D0129,Proposal,2026-01-12
H00378,D0129,Negotiation,2026-01-31
H00379,D0129,Closed Lost,2026-03-08
H00380,D0130,Opportunity,2025-04-17
H00381,D0131,Opportunity,2026-05-13
H00382,D0131,Proposal,2026-05-24
H00383,D0132,Opportunity,2026-04-05
H00384,D0132,Proposal,2026-04-11
H00385,D0133,Opportunity,2025-09-21
H00386,D0133,Proposal,2025-09-30
H00387,D0133,Negotiation,2025-10-22
H00388,D0133,Closed Lost,2025-11-28
H00389,D0134,Opportunity,2025-08-11
H00390,D0134,Proposal,2025-08-22
H00391,D0135,Opportunity,2025-03-18
H00392,D0135,Proposal,2025-03-26
H00393,D0135,Negotiation,2025-04-11
H00394,D0135,Closed Won,2025-05-10
H00395,D0136,Opportunity,2025-08-28
H00396,D0136,Proposal,2025-09-04
H00397,D0136,Negotiation,2025-09-29
H00398,D0136,Closed Lost,2025-11-22
H00399,D0137,Opportunity,2026-04-12
H00400,D0137,Proposal,2026-04-22
H00401,D0137,Negotiation,2026-05-07
H00402,D0138,Opportunity,2026-02-27
H00403,D0138,Proposal,2026-03-12
H00404,D0138,Negotiation,2026-03-28
H00405,D0139,Opportunity,2025-01-08
H00406,D0139,Proposal,2025-01-16
H00407,D0139,Negotiation,2025-02-02
H00408,D0139,Closed Lost,2025-03-05
H00409,D0140,Opportunity,2025-10-25
H00410,D0140,Proposal,2025-11-01
H00411,D0141,Opportunity,2025-09-13
H00412,D0142,Opportunity,2026-03-13
H00413,D0142,Proposal,2026-03-20
H00414,D0143,Opportunity,2025-12-29
H00415,D0143,Proposal,2026-01-07
H00416,D0143,Negotiation,2026-01-19
H00417,D0143,Closed Won,2026-02-10
