deal_id,company_id,lead_id,owner_id,amount,created_at,current_stage,is_closed,is_won,closed_at
D0001,C0127,L0009,R012,9929,2026-03-01,Negotiation,0,0,
D0002,C0004,L0015,R007,35851,2025-05-27,Closed Won,1,1,2025-07-09
D0003,C0080,L0040,R009,27927,2025-07-04,Closed Lost,1,0,2025-08-12
D0004,C0080,L0054,R005,22936,2025-12-06,Closed Lost,1,0,2026-02-04
D0005,C0027,L0059,R007,19745,2026-02-03,Closed Lost,1,0,2026-03-11
D0006,C0132,L0064,R003,25705,2025-09-22,Opportunity,0,0,
D0007,C0155,L0073,R010,26171,2025-12-03,Opportunity,0,0,
D0008,C0200,L0074,R006,37193,2025-06-05,Closed Lost,1,0,2025-08-10
D0009,C0126,L0076,R002,14566,2025-11-25,Closed Won,1,1,2026-02-17
D0010,C0107,L0087,R006,11469,2025-02-10,Closed Won,1,1,2025-04-19
D0011,C0187,L0092,R009,56217,2025-06-12,Opportunity,0,0,
D0012,C0183,L0093,R010,33174,2025-07-07,Closed Lost,1,0,2025-10-15
D0013,C0185,L0100,R005,16153,2025-09-11,Closed Lost,1,0,2025-10-27
D0014,C0089,L0135,R001,9710,2026-01-08,Closed Lost,1,0,2026-02-11
D0015,C0089,L0138,R009,28397,2025-05-26,Closed Won,1,1,2025-07-05
D0016,C0210,L0150,R009,27493,2026-04-18,Negotiation,0,0,
D0017,C0003,L0155,R002,34187,2025-12-26,Proposal,0,0,
D0018,C0069,L0168,R008,19293,2025-07-26,Closed Won,1,1,2025-10-20
D0019,C0018,L0175,R007,80237,2025-05-02,Closed Lost,1,0,2025-06-25
D0020,C0169,L0186,R012,32555,2025-03-25,Closed Won,1,1,2025-06-30
D0021,C0099,L0193,R002,104866,2025-01-16,Closed Lost,1,0,2025-04-08
D0022,C0110,L0212,R011,98337,2026-03-27,Opportunity,0,0,
D0023,C0200,L0218,R001,13262,2026-05-23,Proposal,0,0,
D0024,C0069,L0228,R010,19104,2026-02-04,Closed Lost,1,0,2026-04-19
D0025,C0213,L0242,R010,17879,2025-07-03,Closed Lost,1,0,2025-09-22
D0026,C0151,L0247,R003,25823,2025-09-19,Closed Lost,1,0,2025-10-25
D0027,C0100,L0252,R008,11365,2025-09-08,Closed Lost,1,0,2025-12-07
D0028,C0127,L0255,R009,428358,2025-08-04,Proposal,0,0,
D0029,C0195,L0267,R002,9610,2025-10-13,Opportunity,0,0,
D0030,C0095,L0274,R005,25820,2025-05-09,Proposal,0,0,
D0031,C0033,L0276,R010,31186,2026-05-13,Proposal,0,0,
D0032,C0185,L0324,R005,33236,2026-02-18,Closed Lost,1,0,2026-04-15
D0033,C0106,L0336,R012,33353,2025-03-28,Closed Lost,1,0,2025-06-01
D0034,C0038,L0360,R011,17629,2026-04-25,Proposal,0,0,
D0035,C0202,L0381,R003,24401,2025-08-27,Closed Lost,1,0,2025-10-28
D0036,C0073,L0387,R010,31394,2026-04-15,Negotiation,0,0,
D0037,C0036,L0402,R003,13525,2025-03-22,Closed Lost,1,0,2025-05-05
D0038,C0206,L0411,R004,9828,2025-02-03,Closed Lost,1,0,2025-05-10
D0039,C0214,L0434,R003,25311,2025-09-21,Closed Won,1,1,2025-11-18
D0040,C0089,L0440,R001,34335,2025-04-28,Proposal,0,0,
D0041,C0026,L0446,R012,27431,2026-01-05,Closed Lost,1,0,2026-04-07
D0042,C0102,L0452,R004,37246,2026-03-15,Closed Lost,1,0,2026-05-22
D0043,C0059,L0453,R009,96050,2026-03-13,Closed Lost,1,0,2026-04-23
D0044,C0070,L0457,R002,21237,2025-01-26,Closed Lost,1,0,2025-04-17
D0045,C0177,L0466,R010,33301,2025-02-09,Proposal,0,0,
D0046,C0097,L0467,R009,13949,2025-06-09,Closed Lost,1,0,2025-08-07
D0047,C0034,L0472,R007,12965,2025-12-11,Proposal,0,0,
D0048,C0133,L0484,R012,14593,2026-01-22,Closed Lost,1,0,2026-04-15
D0049,C0024,L0491,R010,11827,2025-10-26,Closed Lost,1,0,2026-01-06
D0050,C0079,L0493,R004,25721,2025-12-28,Closed Lost,1,0,2026-02-27
D0051,C0183,L0533,R003,210314,2026-04-19,Closed Lost,1,0,2026-05-30
D0052,C0023,L0558,R006,20264,2025-01-14,Closed Won,1,1,2025-04-03
D0053,C0195,L0560,R008,27186,2025-07-28,Closed Won,1,1,2025-10-19
D0054,C0206,L0564,R010,26462,2025-02-19,Proposal,0,0,
D0055,C0075,L0575,R007,23390,2025-05-21,Opportunity,0,0,
D0056,C0020,L0590,R002,21379,2025-08-26,Closed Won,1,1,2025-12-01
D0057,C0026,L0601,R002,41272,2026-02-12,Closed Won,1,1,2026-05-31
D0058,C0177,L0610,R011,22600,2025-02-01,Closed Won,1,1,2025-03-20
D0059,C0037,L0616,R003,43006,2025-01-25,Opportunity,0,0,
D0060,C0052,L0617,R003,17754,2025-04-16,Closed Won,1,1,2025-05-26
D0061,C0047,L0622,R004,54790,2025-01-03,Opportunity,0,0,
D0062,C0189,L0627,R007,20223,2025-04-19,Closed Won,1,1,2025-05-28
D0063,C0056,L0636,R012,127013,2026-02-03,Opportunity,0,0,
D0064,C0094,L0639,R002,15341,2025-12-14,Opportunity,0,0,
D0065,C0021,L0643,R003,18215,2025-05-01,Proposal,0,0,
D0066,C0161,L0672,R001,48865,2025-02-14,Closed Lost,1,0,2025-03-31
D0067,C0209,L0680,R003,13191,2026-02-01,Closed Lost,1,0,2026-03-05
D0068,C0046,L0702,R002,35567,2025-08-05,Proposal,0,0,
D0069,C0169,L0707,R007,12005,2025-04-12,Closed Lost,1,0,2025-05-27
D0070,C0041,L0721,R001,20159,2025-09-02,Opportunity,0,0,
D0071,C0156,L0729,R012,40226,2026-05-08,Proposal,0,0,
D0072,C0082,L0753,R005,15307,2025-03-21,Opportunity,0,0,
D0073,C0010,L0754,R006,11876,2025-03-01,Proposal,0,0,
D0074,C0155,L0761,R004,16606,2025-05-13,Closed Lost,1,0,2025-07-31
D0075,C0137,L0775,R007,17406,2026-05-23,Opportunity,0,0,
D0076,C0214,L0799,R007,44970,2025-02-09,Proposal,0,0,
D0077,C0031,L0821,R006,20753,2025-05-04,Closed Lost,1,0,2025-08-18
D0078,C0084,L0836,R006,27530,2025-12-08,Closed Lost,1,0,2026-03-04
D0079,C0146,L0838,R003,14139,2025-04-21,Proposal,0,0,
D0080,C0127,L0851,R005,18282,2025-06-16,Closed Won,1,1,2025-08-06
D0081,C0206,L0863,R001,33834,2025-03-31,Opportunity,0,0,
D0082,C0130,L0868,R006,19961,2026-04-09,Opportunity,0,0,
D0083,C0003,L0871,R010,30314,2026-03-27,Opportunity,0,0,
D0084,C0082,L0887,R002,41959,2025-09-20,Proposal,0,0,
D0085,C0208,L0896,R012,24001,2025-06-23,Proposal,0,0,
D0086,C0007,L0898,R009,23087,2025-11-29,Proposal,0,0,
D0087,C0105,L0909,R012,10920,2025-03-07,Proposal,0,0,
D0088,C0185,L0936,R011,27871,2025-11-26,Closed Lost,1,0,2026-01-10
D0089,C0018,L0952,R003,16459,2025-04-14,Closed Won,1,1,2025-06-08
D0090,C0139,L0967,R006,16561,2025-10-15,Proposal,0,0,
D0091,C0056,L1004,R011,14110,2025-06-09,Closed Lost,1,0,2025-08-03
D0092,C0186,L1014,R006,30400,2025-05-30,Proposal,0,0,
D0093,C0174,L1021,R011,21211,2025-10-03,Opportunity,0,0,
D0094,C0118,L1022,R001,36182,2025-06-23,Closed Won,1,1,2025-08-24
D0095,C0050,L1035,R009,13963,2026-01-01,Closed Lost,1,0,2026-02-06
D0096,C0212,L1071,R004,3000,2026-04-20,Proposal,0,0,
D0097,C0142,L1084,R012,38619,2025-03-27,Closed Lost,1,0,2025-07-06
D0098,C0008,L1094,R005,43308,2025-10-11,Proposal,0,0,
D0099,C0105,L1096,R001,28172,2025-01-09,Opportunity,0,0,
D0100,C0080,L1100,R005,31894,2026-03-15,Proposal,0,0,
D0101,C0055,L1111,R002,25382,2026-05-07,Opportunity,0,0,
D0102,C0079,L1121,R009,20348,2025-01-21,Closed Lost,1,0,2025-02-27
D0103,C0083,L1135,R010,24738,2025-12-01,Closed Won,1,1,2026-02-17
D0104,C0037,L1136,R003,18643,2026-05-09,Opportunity,0,0,
D0105,C0008,L1141,R003,32224,2026-05-16,Negotiation,0,0,
D0106,C0209,L1162,R006,52018,2026-05-30,Opportunity,0,0,
D0107,C0111,L1173,R006,29203,2025-10-29,Closed Lost,1,0,2026-01-17
D0108,C0078,L1194,R010,20984,2025-01-17,Closed Lost,1,0,2025-03-31
