lead_id,company_id,lead_source,campaign,created_at,mql_at,sql_at
L0001,C0139,Webinar,webinar-q3,2025-05-03,,
L0002,C0212,Organic,organic-q3,2025-01-04,,
L0003,C0030,Organic,organic-q1,2025-01-18,2025-01-27,
L0004,C0102,Cold Outbound,cold-q1,2025-05-03,,
L0005,C0138,Referral,referral-q4,2026-01-06,2026-01-16,2026-02-08
L0006,C0060,Webinar,webinar-q1,2025-01-15,,
L0007,C0084,Trade Show,trade-q1,2025-09-28,,
L0008,C0180,Paid Search,paid-q4,2025-07-07,2025-07-10,
L0009,C0127,Organic,organic-q1,2026-01-14,2026-02-02,2026-02-19
L0010,C0071,Referral,referral-q1,2025-10-30,,
L0011,C0024,Trade Show,trade-q1,2025-10-07,2025-10-19,2025-10-26
L0012,C0213,Organic,organic-q2,2025-10-12,,
L0013,C0199,Organic,organic-q1,2025-12-12,2025-12-18,
L0014,C0205,Paid Search,paid-q1,2025-11-15,,
L0015,C0004,Referral,referral-q2,2025-05-11,2025-05-13,2025-05-17
L0016,C0114,Cold Outbound,cold-q1,2026-02-26,2026-03-04,2026-03-15
L0017,C0183,Paid Search,paid-q4,2025-06-14,,
L0018,C0117,Paid Search,paid-q4,2024-12-11,2024-12-16,
L0019,C0197,Cold Outbound,cold-q4,2025-10-04,,
L0020,C0087,Organic,organic-q4,2025-02-02,2025-02-07,2025-02-20
L0021,C0040,Paid Search,paid-q1,2025-01-12,2025-01-16,2025-01-22
L0022,C0034,Paid Search,paid-q3,2026-03-12,,
L0023,C0171,Paid Search,paid-q1,2025-03-05,,
L0024,C0091,Paid Search,paid-q2,2026-01-26,2026-02-12,2026-02-18
L0025,C0030,Paid Search,paid-q2,2025-07-31,,
L0026,C0197,Trade Show,trade-q3,2026-04-16,2026-04-26,
L0027,C0087,Organic,organic-q1,2025-05-18,2025-05-24,
L0028,C0037,Paid Search,paid-q1,2026-04-11,,
L0029,C0108,Organic,organic-q3,2025-02-02,2025-02-13,
L0030,C0146,Cold Outbound,cold-q1,2026-02-15,2026-02-18,
L0031,C0170,Organic,organic-q4,2025-03-04,,
L0032,C0056,Paid Search,paid-q3,2026-01-16,2026-01-27,
L0033,C0135,Paid Search,paid-q1,2025-07-01,2025-07-04,2025-07-16
L0034,C0196,Cold Outbound,cold-q3,2025-08-24,2025-08-26,
L0035,C0034,Paid Search,paid-q2,2025-04-18,,
L0036,C0207,Trade Show,trade-q1,2025-05-15,2025-05-18,
L0037,C0020,Paid Search,paid-q4,2025-06-26,,
L0038,C0107,Cold Outbound,cold-q1,2025-07-20,,
L0039,C0044,Trade Show,trade-q3,2025-01-26,2025-01-31,2025-02-21
L0040,C0080,Webinar,webinar-q2,2025-05-30,2025-06-06,2025-06-29
L0041,C0115,Cold Outbound,cold-q3,2025-06-16,2025-06-20,
L0042,C0204,Cold Outbound,cold-q1,2025-08-04,,
L0043,C0119,Webinar,webinar-q1,2025-02-04,2025-02-15,2025-02-20
L0044,C0119,Paid Search,paid-q4,2026-03-31,,
L0045,C0049,Paid Search,paid-q4,2025-06-17,,
L0046,C0116,Trade Show,trade-q3,2026-01-27,,
L0047,C0166,Webinar,webinar-q1,2025-11-17,2025-12-03,
L0048,C0157,Paid Search,paid-q3,2025-12-01,2025-12-12,
L0049,C0174,Cold Outbound,cold-q3,2026-03-20,2026-03-25,
L0050,C0065,Paid Search,paid-q3,2025-12-10,2025-12-16,
L0051,C0168,Organic,organic-q2,2025-04-06,,
L0052,C0080,Trade Show,trade-q3,2025-04-22,,
L0053,C0213,Cold Outbound,cold-q4,2026-02-06,,
L0054,C0080,Referral,referral-q2,2025-11-09,2025-11-26,2025-12-03
L0055,C0193,Paid Search,paid-q2,2025-02-07,,
L0056,C0208,Organic,organic-q2,2025-01-17,2025-02-06,
L0057,C0073,Paid Search,paid-q4,2025-04-16,,
L0058,C0206,Trade Show,trade-q3,2025-12-22,2026-01-08,
L0059,C0027,Paid Search,paid-q3,2026-01-05,2026-01-12,2026-01-31
L0060,C0213,Organic,organic-q2,2025-01-14,,
L0061,C0158,Paid Search,paid-q1,2026-05-07,2026-05-15,
L0062,C0187,Paid Search,paid-q1,2025-03-05,,
L0063,C0032,Organic,organic-q2,2026-03-25,2026-04-10,2026-04-28
L0064,C0132,Referral,referral-q2,2025-09-07,2025-09-09,2025-09-19
L0065,C0161,Cold Outbound,cold-q3,2026-01-26,2026-02-08,
L0066,C0045,Trade Show,trade-q4,2025-01-22,,
L0067,C0017,Trade Show,trade-q1,2025-01-29,2025-02-01,
L0068,C0081,Trade Show,trade-q4,2025-06-29,,
L0069,C0065,Paid Search,paid-q2,2026-04-05,2026-04-08,
